005930,삼성전자,KOSPI,ELECTRONICS
000660,SK하이닉스,KOSPI,ELECTRONICS
066570,LG전자,KOSPI,ELECTRONICS
009150,삼성전기,KOSPI,ELECTRONICS
011070,LG이노텍,KOSPI,ELECTRONICS
006400,삼성SDI,KOSPI,ELECTRONICS
000990,DB하이텍,KOSPI,ELECTRONICS
051910,LG화학,KOSPI,CHEMICAL
011170,롯데케미칼,KOSPI,CHEMICAL
010950,S-Oil,KOSPI,CHEMICAL
096770,SK이노베이션,KOSPI,CHEMICAL
009830,한화솔루션,KOSPI,CHEMICAL
090430,아모레퍼시픽,KOSPI,CHEMICAL
051900,LG생활건강,KOSPI,CHEMICAL
005380,현대차,KOSPI,TRANSPORT_EQUIPMENT
000270,기아,KOSPI,TRANSPORT_EQUIPMENT
012330,현대모비스,KOSPI,TRANSPORT_EQUIPMENT
010140,삼성중공업,KOSPI,TRANSPORT_EQUIPMENT
009540,HD한국조선해양,KOSPI,TRANSPORT_EQUIPMENT
011210,현대위아,KOSPI,TRANSPORT_EQUIPMENT
068270,셀트리온,KOSPI,PHARMACEUTICAL
207940,삼성바이오로직스,KOSPI,PHARMACEUTICAL
128940,한미약품,KOSPI,PHARMACEUTICAL
000100,유한양행,KOSPI,PHARMACEUTICAL
326030,SK바이오팜,KOSPI,PHARMACEUTICAL
302440,SK바이오사이언스,KOSPI,PHARMACEUTICAL
185750,종근당,KOSPI,PHARMACEUTICAL
105560,KB금융,KOSPI,FINANCIAL
055550,신한지주,KOSPI,FINANCIAL
086790,하나금융지주,KOSPI,FINANCIAL
316140,우리금융지주,KOSPI,FINANCIAL
138930,BNK금융지주,KOSPI,FINANCIAL
175330,JB금융지주,KOSPI,FINANCIAL
139130,iM금융지주,KOSPI,FINANCIAL
323410,카카오뱅크,KOSPI,FINANCIAL
138040,메리츠금융지주,KOSPI,FINANCIAL
005490,POSCO홀딩스,KOSPI,STEEL_METAL
004020,현대제철,KOSPI,STEEL_METAL
103140,풍산,KOSPI,STEEL_METAL
460860,동국제강,KOSPI,STEEL_METAL
010130,고려아연,KOSPI,STEEL_METAL
000720,현대건설,KOSPI,CONSTRUCTION
006360,GS건설,KOSPI,CONSTRUCTION
375500,DL이앤씨,KOSPI,CONSTRUCTION
047040,대우건설,KOSPI,CONSTRUCTION
012630,HDC현대산업개발,KOSPI,CONSTRUCTION
004170,신세계,KOSPI,RETAIL
023530,롯데쇼핑,KOSPI,RETAIL
069960,현대백화점,KOSPI,RETAIL
007070,GS리테일,KOSPI,RETAIL
282330,BGF리테일,KOSPI,RETAIL
139480,이마트,KOSPI,RETAIL
097950,CJ제일제당,KOSPI,FOOD_BEVERAGE
005180,빙그레,KOSPI,FOOD_BEVERAGE
271560,오리온,KOSPI,FOOD_BEVERAGE
007310,오뚜기,KOSPI,FOOD_BEVERAGE
004370,농심,KOSPI,FOOD_BEVERAGE
000080,하이트진로,KOSPI,FOOD_BEVERAGE
093050,LF,KOSPI,TEXTILE_APPAREL
020000,한섬,KOSPI,TEXTILE_APPAREL
111770,영원무역,KOSPI,TEXTILE_APPAREL
002310,아세아제지,KOSPI,PAPER_WOOD
213500,한솔제지,KOSPI,PAPER_WOOD
003300,한일홀딩스,KOSPI,NON_METALLIC_MINERAL
012450,한화에어로스페이스,KOSPI,MACHINERY
034020,두산에너빌리티,KOSPI,MACHINERY
042670,HD현대인프라코어,KOSPI,MACHINERY
267270,HD현대건설기계,KOSPI,MACHINERY
015760,한국전력,KOSPI,ELECTRIC_GAS
036460,한국가스공사,KOSPI,ELECTRIC_GAS
071320,한국지역난방공사,KOSPI,ELECTRIC_GAS
000120,CJ대한통운,KOSPI,TRANSPORT_STORAGE
180640,한진칼,KOSPI,TRANSPORT_STORAGE
003490,대한항공,KOSPI,TRANSPORT_STORAGE
011200,HMM,KOSPI,TRANSPORT_STORAGE
017670,SK텔레콤,KOSPI,TELECOMMUNICATION
030200,KT,KOSPI,TELECOMMUNICATION
032640,LG유플러스,KOSPI,TELECOMMUNICATION
035420,NAVER,KOSPI,SERVICE
035720,카카오,KOSPI,SERVICE
018260,삼성에스디에스,KOSPI,SERVICE
251270,넷마블,KOSPI,SERVICE
036570,엔씨소프트,KOSPI,SERVICE
259960,크래프톤,KOSPI,SERVICE
352820,하이브,KOSPI,SERVICE
016360,삼성증권,KOSPI,SECURITIES
006800,미래에셋증권,KOSPI,SECURITIES
039490,키움증권,KOSPI,SECURITIES
003540,대신증권,KOSPI,SECURITIES
000810,삼성화재,KOSPI,INSURANCE
032830,삼성생명,KOSPI,INSURANCE
001450,현대해상,KOSPI,INSURANCE
AAPL,Apple,NASDAQ,ELECTRONICS
NVDA,NVIDIA,NASDAQ,ELECTRONICS
AVGO,Broadcom,NASDAQ,ELECTRONICS
AMD,AMD,NASDAQ,ELECTRONICS
MSFT,Microsoft,NASDAQ,SERVICE
GOOGL,Alphabet,NASDAQ,SERVICE
META,Meta,NASDAQ,SERVICE
NFLX,Netflix,NASDAQ,SERVICE
AMZN,Amazon,NASDAQ,RETAIL
TSLA,Tesla,NASDAQ,TRANSPORT_EQUIPMENT
